episode, time, episode_reward
0, 599, -5.9999999999999165 
10, 587, -0.8483333333332528 
20, 599, -5.9999999999999165 
30, 556, -0.48666666666659264 
40, 561, -0.5449999999999253 
50, 575, -0.7083333333332549 
60, 599, -5.9999999999999165 
70, 591, -0.8949999999999187 
80, 566, -0.6033333333332571 
90, 580, -0.7666666666665876 
100, 581, -0.7783333333332543 
110, 560, -0.5333333333332586 
120, 591, -0.8949999999999187 
130, 599, -5.9999999999999165 
140, 594, -0.929999999999918 
150, 595, -0.9416666666665847 
160, 585, -0.8249999999999194 
170, 596, -0.9533333333332505 
180, 599, -5.9999999999999165 
190, 590, -0.883333333333252 
200, 561, -0.5449999999999253 
210, 569, -0.6383333333332564 
220, 554, -0.4633333333332601 
230, 568, -0.6266666666665897 
240, 576, -0.7199999999999216 
250, 540, -0.29999999999992966 
260, 596, -0.9533333333332505 
270, 599, -5.9999999999999165 
280, 589, -0.8716666666665853 
290, 599, -5.9999999999999165 
300, 579, -0.7549999999999208 
310, 560, -0.5333333333332586 
320, 598, -0.976666666666584 
330, 581, -0.7783333333332543 
340, 599, -5.9999999999999165 
350, 585, -0.8249999999999194 
360, 599, -5.9999999999999165 
370, 599, -5.9999999999999165 
380, 582, -0.7899999999999201 
390, 599, -5.9999999999999165 
400, 571, -0.6616666666665889 
410, 572, -0.6733333333332556 
420, 578, -0.7433333333332541 
430, 541, -0.3116666666665955 
440, 536, -0.2533333333332637 
450, 599, -5.9999999999999165 
460, 599, -0.9883333333332498 
470, 576, -0.7199999999999216 
480, 557, -0.49833333333325935 
490, 587, -0.8483333333332528 
500, 587, -0.8483333333332528 
510, 584, -0.8133333333332535 
520, 570, -0.6499999999999231 
530, 529, -0.17166666666659847 
540, 557, -0.49833333333325935 
550, 596, -0.9533333333332505 
560, 578, -0.7433333333332541 
570, 559, -0.5216666666665919 
580, 558, -0.5099999999999252 
590, 599, -5.9999999999999165 
600, 599, -5.9999999999999165 
610, 583, -0.8016666666665868 
620, 579, -0.7549999999999208 
630, 559, -0.5216666666665919 
640, 579, -0.7549999999999208 
650, 568, -0.6266666666665897 
660, 594, -0.929999999999918 
670, 570, -0.6499999999999231 
680, 599, -5.9999999999999165 
690, 599, -5.9999999999999165 
700, 597, -0.9649999999999173 
710, 590, -0.883333333333252 
720, 582, -0.7899999999999201 
730, 565, -0.5916666666665904 
740, 568, -0.6266666666665897 
750, 579, -0.7549999999999208 
760, 590, -0.883333333333252 
770, 599, -5.9999999999999165 
780, 592, -0.9066666666665846 
790, 599, -5.9999999999999165 
800, 577, -0.7316666666665883 
810, 599, -5.9999999999999165 
820, 553, -0.4516666666665934 
830, 586, -0.8366666666665861 
840, 578, -0.7433333333332541 
850, 599, -5.9999999999999165 
860, 572, -0.6733333333332556 
870, 599, -5.9999999999999165 
880, 599, -5.9999999999999165 
890, 588, -0.8599999999999195 
900, 585, -0.8249999999999194 
910, 595, -0.9416666666665847 
920, 592, -0.9066666666665846 
930, 565, -0.5916666666665904 
940, 572, -0.6733333333332556 
950, 595, -0.9416666666665847 
960, 567, -0.6149999999999238 
970, 578, -0.7433333333332541 
980, 577, -0.7316666666665883 
990, 599, -5.9999999999999165 
1000, 597, -0.9649999999999173 
1010, 576, -0.7199999999999216 
1020, 564, -0.5799999999999237 
1030, 566, -0.6033333333332571 
1040, 566, -0.6033333333332571 
1050, 582, -0.7899999999999201 
1060, 548, -0.3933333333332607 
1070, 599, -0.9883333333332498 
1080, 573, -0.6849999999999223 
1090, 575, -0.7083333333332549 
1100, 582, -0.7899999999999201 
1110, 561, -0.5449999999999253 
1120, 579, -0.7549999999999208 
1130, 580, -0.7666666666665876 
1140, 577, -0.7316666666665883 
1150, 590, -0.883333333333252 
1160, 545, -0.35833333333326145 
1170, 574, -0.696666666666589 
1180, 599, -5.9999999999999165 
1190, 575, -0.7083333333332549 
1200, 589, -0.8716666666665853 
1210, 571, -0.6616666666665889 
1220, 592, -0.9066666666665846 
1230, 563, -0.5683333333332579 
1240, 599, -5.9999999999999165 
1250, 599, -5.9999999999999165 
1260, 597, -0.9649999999999173 
1270, 599, -5.9999999999999165 
1280, 581, -0.7783333333332543 
1290, 576, -0.7199999999999216 
1300, 599, -5.9999999999999165 
1310, 576, -0.7199999999999216 
1320, 543, -0.3349999999999289 
1330, 578, -0.7433333333332541 
1340, 599, -5.9999999999999165 
1350, 584, -0.8133333333332535 
1360, 580, -0.7666666666665876 
1370, 575, -0.7083333333332549 
1380, 599, -5.9999999999999165 
1390, 572, -0.6733333333332556 
1400, 588, -0.8599999999999195 
1410, 560, -0.5333333333332586 
1420, 578, -0.7433333333332541 
1430, 599, -5.9999999999999165 
1440, 566, -0.6033333333332571 
1450, 571, -0.6616666666665889 
1460, 566, -0.6033333333332571 
1470, 578, -0.7433333333332541 
1480, 599, -5.9999999999999165 
1490, 591, -0.8949999999999187 
1500, 599, -5.9999999999999165 
1510, 568, -0.6266666666665897 
1520, 599, -0.9883333333332498 
1530, 563, -0.5683333333332579 
1540, 556, -0.48666666666659264 
1550, 576, -0.7199999999999216 
1560, 577, -0.7316666666665883 
1570, 594, -0.929999999999918 
1580, 571, -0.6616666666665889 
1590, 581, -0.7783333333332543 
1600, 590, -0.883333333333252 
1610, 557, -0.49833333333325935 
1620, 592, -0.9066666666665846 
1630, 585, -0.8249999999999194 
1640, 599, -5.9999999999999165 
1650, 589, -0.8716666666665853 
1660, 567, -0.6149999999999238 
1670, 579, -0.7549999999999208 
1680, 596, -0.9533333333332505 
1690, 575, -0.7083333333332549 
1700, 566, -0.6033333333332571 
1710, 568, -0.6266666666665897 
1720, 574, -0.696666666666589 
1730, 543, -0.3349999999999289 
1740, 558, -0.5099999999999252 
1750, 569, -0.6383333333332564 
1760, 591, -0.8949999999999187 
1770, 599, -5.9999999999999165 
1780, 599, -5.9999999999999165 
1790, 598, -0.976666666666584 
1800, 597, -0.9649999999999173 
1810, 562, -0.5566666666665911 
1820, 571, -0.6616666666665889 
1830, 551, -0.42833333333325996 
1840, 574, -0.696666666666589 
1850, 599, -5.9999999999999165 
1860, 588, -0.8599999999999195 
1870, 562, -0.5566666666665911 
1880, 599, -5.9999999999999165 
1890, 593, -0.9183333333332513 
1900, 557, -0.49833333333325935 
1910, 554, -0.4633333333332601 
1920, 594, -0.929999999999918 
1930, 574, -0.696666666666589 
1940, 589, -0.8716666666665853 
1950, 585, -0.8249999999999194 
1960, 585, -0.8249999999999194 
1970, 576, -0.7199999999999216 
1980, 585, -0.8249999999999194 
1990, 599, -5.9999999999999165 
2000, 597, -0.9649999999999173 
2010, 593, -0.9183333333332513 
2020, 599, -5.9999999999999165 
2030, 584, -0.8133333333332535 
2040, 594, -0.929999999999918 
2050, 599, -5.9999999999999165 
2060, 579, -0.7549999999999208 
2070, 599, -5.9999999999999165 
2080, 594, -0.929999999999918 
2090, 579, -0.7549999999999208 
2100, 599, -0.9883333333332498 
2110, 580, -0.7666666666665876 
2120, 588, -0.8599999999999195 
2130, 592, -0.9066666666665846 
2140, 533, -0.21833333333326443 
2150, 595, -0.9416666666665847 
2160, 553, -0.4516666666665934 
2170, 599, -5.9999999999999165 
2180, 593, -0.9183333333332513 
2190, 599, -5.9999999999999165 
2200, 599, -5.9999999999999165 
2210, 599, -5.9999999999999165 
2220, 564, -0.5799999999999237 
2230, 584, -0.8133333333332535 
2240, 581, -0.7783333333332543 
2250, 569, -0.6383333333332564 
2260, 589, -0.8716666666665853 
2270, 595, -0.9416666666665847 
2280, 565, -0.5916666666665904 
