episode, time, episode_reward
0, 572, 0.27000000000007773 
10, 542, 0.5700000000000713 
20, 558, 0.41000000000007475 
30, 569, 0.3000000000000771 
40, 561, 0.3800000000000754 
50, 597, 0.020000000000083062 
60, 580, 0.19000000000007944 
70, 580, 0.19000000000007944 
80, 559, 0.40000000000007496 
90, 572, 0.27000000000007773 
100, 543, 0.5600000000000716 
110, 586, 0.13000000000008072 
120, 565, 0.34000000000007624 
130, 589, 0.10000000000008136 
140, 570, 0.2900000000000773 
150, 539, 0.6000000000000707 
160, 563, 0.3600000000000758 
170, 559, 0.40000000000007496 
180, 571, 0.2800000000000775 
190, 542, 0.5700000000000713 
200, 543, 0.5600000000000716 
210, 597, 0.020000000000083062 
220, 542, 0.5700000000000713 
230, 594, 0.05000000000008242 
240, 559, 0.40000000000007496 
250, 567, 0.32000000000007667 
260, 551, 0.48000000000007326 
270, 584, 0.1500000000000803 
280, 548, 0.5100000000000726 
290, 565, 0.34000000000007624 
